country_code,year,inflation_gdp_deflation
ABW,1970,
AFG,1970,
AGO,1970,
ALB,1970,
AND,1970,
ARB,1970,3.46769842542869
ARE,1970,
ARG,1970,6.46787463930359
ARM,1970,
ASM,1970,
ATG,1970,
AUS,1970,5.1340186338694
AUT,1970,6.45138988966751
AZE,1970,
BDI,1970,5.18451180666659
BEL,1970,6.68047235500713
BEN,1970,5.04704693755775
BFA,1970,1.78342721857652
BGD,1970,0.510309048647599
BGR,1970,
BHR,1970,
BHS,1970,6.14534567353979
BIH,1970,
BLR,1970,
BLZ,1970,7.36964239731716
BMU,1970,6.26951940434624
BOL,1970,3.96056114698928
BRA,1970,16.2551115402188
BRB,1970,
BRN,1970,
BTN,1970,
BWA,1970,5.97859337961175
CAF,1970,4.49087969968032
CAN,1970,
CEB,1970,
CHE,1970,
CHI,1970,
CHL,1970,40.5757859262563
CHN,1970,-2.614570450125
CIV,1970,2.99084831038685
CMR,1970,7.88400335930839
COD,1970,-2.83694889969371
COG,1970,3.71045521228307
COL,1970,11.8858042457372
COM,1970,
CPV,1970,
CRI,1970,7.31747346139713
CSS,1970,3.08986462342293
CUB,1970,
CUW,1970,
CYM,1970,
CYP,1970,
CZE,1970,
DEU,1970,
DJI,1970,
DMA,1970,
DNK,1970,9.03134451562346
DOM,1970,2.11170632360151
DZA,1970,4.94044573034897
EAP,1970,
EAR,1970,3.70835302222319
EAS,1970,
ECA,1970,
ECS,1970,
ECU,1970,-13.9363806349476
EGY,1970,12.5161736901833
EMU,1970,6.35732316609577
ERI,1970,
ESP,1970,9.06522820549669
EST,1970,
ETH,1970,
EUU,1970,
FCS,1970,
FIN,1970,7.60001769193192
FJI,1970,6.83128780571272
FRA,1970,5.42473919931945
FRO,1970,
FSM,1970,
GAB,1970,-0.420199476219523
GBR,1970,5.53973503072942
GEO,1970,-0.256497042415887
GHA,1970,2.88915449133818
GIB,1970,
GIN,1970,
GMB,1970,9.06913662712363
GNB,1970,
GNQ,1970,
GRC,1970,4.14816676774288
GRD,1970,
GRL,1970,
