country_code_alpha_three,year,temp_change_celsius
AFG,1970,0.898
AFG,1971,0.652
AFG,1972,-1.089
AFG,1973,0.262
AFG,1974,-0.47
AFG,1975,-0.468
AFG,1976,-0.295
AFG,1977,0.532
AFG,1978,0.105
AFG,1979,0.394
AFG,1980,0.69
AFG,1981,0.583
AFG,1982,-0.237
AFG,1983,0.213
AFG,1984,0.21
AFG,1985,0.361
AFG,1986,-0.048
AFG,1987,0.49
AFG,1988,0.988
AFG,1989,-0.122
AFG,1990,0.847
AFG,1991,-0.058
AFG,1992,-0.214
AFG,1993,0.292
AFG,1994,0.554
AFG,1995,0.474
AFG,1996,-0.016
AFG,1997,0.592
AFG,1998,0.795
AFG,1999,1.301
AFG,2000,1.109
AFG,2001,1.366
AFG,2002,1.384
AFG,2003,0.615
AFG,2004,1.427
AFG,2005,0.491
AFG,2006,1.78
AFG,2007,0.736
AFG,2008,0.804
AFG,2009,0.929
AFG,2010,1.646
AFG,2011,1.446
AFG,2012,0.234
AFG,2013,1.308
AFG,2014,0.457
AFG,2015,1.101
AFG,2016,1.607
AFG,2017,1.568
AFG,2018,1.58
AFG,2019,0.96
AFG,2020,0.544
ALB,1970,-0.119
ALB,1971,-0.2
ALB,1972,-0.077
ALB,1973,-0.299
ALB,1974,-0.134
ALB,1975,-0.203
ALB,1976,-0.672
ALB,1977,0.545
ALB,1978,-0.822
ALB,1979,0.225
ALB,1980,-0.404
ALB,1981,-0.313
ALB,1982,0.237
ALB,1983,-0.059
ALB,1984,-0.212
ALB,1985,-0.042
ALB,1986,0.629
ALB,1987,-0.049
ALB,1988,0.43
ALB,1989,-0.005
ALB,1990,0.814
ALB,1991,-0.263
ALB,1992,0.105
ALB,1993,0.117
ALB,1994,1.37
ALB,1995,-0.136
ALB,1996,0.003
ALB,1997,0.113
ALB,1998,0.838
ALB,1999,0.722
ALB,2000,1.112
ALB,2001,1.555
ALB,2002,0.492
ALB,2003,1.023
ALB,2004,0.462
ALB,2005,0.255
ALB,2006,0.426
ALB,2007,1.45
ALB,2008,1.103
ALB,2009,1.009
ALB,2010,1.274
ALB,2011,1.108
ALB,2012,1.568
ALB,2013,1.444
ALB,2014,1.322
ALB,2015,1.665
ALB,2016,1.601
ALB,2017,1.269
ALB,2018,2.146
ALB,2019,1.823
ALB,2020,1.623
DZA,1970,0.114
DZA,1971,-0.38
DZA,1972,-0.342
DZA,1973,-0.028
DZA,1974,-0.502
DZA,1975,-0.554
DZA,1976,-0.817
DZA,1977,0.519
DZA,1978,0.029
DZA,1979,0.661
DZA,1980,0.214
DZA,1981,0.2
DZA,1982,0.388
DZA,1983,0.576
DZA,1984,0.007
DZA,1985,0.513
DZA,1986,0.299
DZA,1987,0.99
DZA,1988,1.346
DZA,1989,0.386
DZA,1990,1.27
DZA,1991,0.034
DZA,1992,-0.318
DZA,1993,0.541
DZA,1994,0.72
DZA,1995,0.583
DZA,1996,0.823
DZA,1997,1.018
DZA,1998,1.077
DZA,1999,1.456
DZA,2000,0.798
DZA,2001,1.827
DZA,2002,1.222
DZA,2003,1.567
DZA,2004,0.964
DZA,2005,1.238
DZA,2006,1.373
DZA,2007,1.198
DZA,2008,1.164
DZA,2009,0.927
DZA,2010,2.249
DZA,2011,1.39
DZA,2012,1.128
DZA,2013,1.173
DZA,2014,1.676
DZA,2015,1.101
DZA,2016,1.736
DZA,2017,1.498
DZA,2018,1.211
DZA,2019,1.094
DZA,2020,1.913
ASM,1970,-0.036
ASM,1971,-0.473
ASM,1972,-0.07
ASM,1973,0.322
ASM,1974,-0.317
ASM,1975,-0.128
ASM,1976,-0.186
ASM,1977,0.149
ASM,1978,0.086
ASM,1979,0.335
ASM,1980,0.335
ASM,1981,0.172
ASM,1982,0.249
ASM,1983,0.288
ASM,1984,0.255
ASM,1985,0.234
ASM,1986,0.371
ASM,1987,0.33
ASM,1988,0.516
ASM,1989,0.163
ASM,1990,0.516
ASM,1991,0.82
ASM,1992,0.674
ASM,1993,0.196
ASM,1994,0.286
ASM,1995,0.798
ASM,1996,0.772
ASM,1997,
ASM,1998,
ASM,1999,0.243
ASM,2000,0.67
ASM,2001,0.948
ASM,2002,1.196
ASM,2003,0.719
ASM,2004,0.215
ASM,2005,0.844
ASM,2006,0.446
ASM,2007,0.894
ASM,2008,0.46
ASM,2009,
ASM,2010,1.047
