Entity,Total economic damages as a share of GDP,Total economic damages (000USD),"Number of people affected per 100,000",Number of deaths
Afghanistan,0.0,0,26.29766365,103
Albania,0.017089496,8900,728.1553398,7
Algeria,0.0,0,0.0,0
Angola,0.00040942,2000,4851.259349,11
Anguilla,0.0,200000,100000.0,4
Antigua and Barbuda,4.257557637,250000,1894.736842,1
Argentina,0.0,0,117.8437308,1
Australia,0.059998947,3210000,207.5533862,12
Austria,7.21e-05,1200,2.380952381,5
Bahamas,0.004002978,2000,0.0,0
Bangladesh,0.062872681,628000,7124.479801,163
Barbados,0.0,0,0.0,1
Belarus,0.0,0,0.0,43
Botswana,0.0,0,147.3922902,0
Brazil,0.001211528,100000,50.10729717,14
British Virgin Islands,0.0,3000000,0.0,9
Burkina Faso,0.0,0,4.595425416,2
Burundi,0.0,0,0.0,0
Cameroon,0.0,0,52.47089473,3
Canada,0.003031644,200000,170.2983774,2
Cape Verde,0.0,0,13035.38175,0
Central African Republic,0.0,0,156.4403829,0
Chad,0.0,0,12564.42698,0
Chile,0.000180483,552000,61.48890092,20
China,0.032390499,15949600,1025.100279,322
Colombia,0.000160316,2000,62.76221632,35
Costa Rica,0.076426014,185000,232.3232323,13
Cote d'Ivoire,0.0,0,0.818431068,15
Croatia,0.072546516,161000,83.67200574,0
Cuba,0.139389371,540000,88191.19852,10
Czechia,0.000331612,2900,0.0,0
Democratic Republic of Congo,0.0,0,0.0,105
Dominica,70.0219442,1456000,100412.6761,64
Dominican Republic,0.019687998,63000,404.8321126,5
El Salvador,0.0,0,8.296806512,10
France,0.000965721,100000,18.75298799,3
French Polynesia,0.0,2000,1630.434783,0
Gambia,0.0,0,903.3423668,6
Germany,0.006118127,899000,0.725882552,5
Ghana,0.0,0,3433.94801,20
Greece,0.0,0,56.76979847,23
Guadeloupe,0.0,120000,20000.0,4
Guatemala,0.0,0,251.6050842,9
Guinea,0.0,0,27.12959894,0
Guyana,0.0,0,422.4516129,0
Haiti,0.0,0,820.2057913,35
Honduras,0.0,0,510.0222717,21
Hong Kong,0.055348959,755500,0.369559266,0
Hungary,0.0,0,13.34018499,0
India,0.019960626,2117000,1668.442136,2250
Indonesia,0.000516926,21000,128.3917271,55
Iran,0.021780867,388000,2.479113469,60
Iraq,0.0,0,0.0,0
Ireland,0.0,0,6.311803072,0
Italy,0.033783439,2644500,3.296304842,13
Jamaica,0.0,0,171.1742554,0
Japan,0.011311194,2202000,34.62506765,49
Kazakhstan,0.0,0,38.71681416,0
Kenya,0.0,0,49.77997252,26
Kyrgyzstan,0.0,0,0.0,0
Laos,0.0,0,0.0,0
Macao,0.703572646,1420000,0.0,10
Madagascar,0.037946882,20000,6624.692034,81
Malawi,0.0,0,316.4742501,0
Malaysia,0.0,0,72.03665006,9
Martinique,0.0,44000,0.0,0
Mauritania,0.0,0,90959.0007,18
Mexico,4.31e-05,2000,1.771159749,31
Mongolia,0.0,0,0.0,0
Montenegro,0.0,0,31.84713376,0
Morocco,0.0,0,0.0,0
Mozambique,0.032150487,17000,2617.892422,7
Myanmar,0.0,0,373.7519435,3
Namibia,0.0,0,104.1198502,0
Nepal,0.513434037,595000,6173.77773,187
New Zealand,0.01099294,91000,50.42535091,0
Nicaragua,0.0,0,826.3899765,22
Niger,0.022342293,10000,6206.89288,72
Nigeria,0.0,0,5.239085894,20
North Korea,0.0,0,0.0,0
North Macedonia,0.0,0,0.0,3
Oman,0.0,0,4.286326618,3
Pakistan,0.009029212,110000,29.9173665,206
Panama,0.0,0,292.184076,7
Peru,0.379134342,3200000,6958.402239,200
Philippines,0.010721777,140876,4520.471033,222
Poland,0.013057707,275000,15.27942455,6
Portugal,0.0,732000,4.859558752,109
Puerto Rico,16.43369487,68000000,17067.00379,66
Romania,0.000862089,7300,0.0,9
Russia,3.18e-05,2000,10.80258366,16
Rwanda,0.0,0,54.46123028,3
Saint Barthelemy,0.0,0,0.0,4
Saint Kitts and Nevis,0.50153246,20000,961.5384615,0
Saint Martin (French Part),0.0,4100000,0.0,12
Saudi Arabia,0.0,0,1.453128304,4
Serbia,0.0,0,0.0,6
Sierra Leone,0.0,0,0.0,0
Sint Maarten (Dutch part),52.44960149,2500000,12195.12195,4
Slovakia,0.0,0,0.0,0
South Africa,0.128950033,2223000,12.48552885,32
South Korea,0.0,0,0.0,0
Spain,0.0,0,3.215640877,4
Sri Lanka,0.210187937,735000,4983.789284,329
Sudan,0.0,0,73.34672776,25
Switzerland,0.0,0,0.0,0
Taiwan,0.0,45300,16.89545935,6
Tajikistan,0.0,0,7.882882883,0
Tanzania,0.0,0,0.0,7
Thailand,0.071676341,1308400,5518.072533,150
Togo,0.0,0,208.625617,0
Tunisia,0.0,0,17.49322138,0
Turkey,0.017462247,600000,0.33285665,0
Turks and Caicos Islands,12.22655314,500000,0.0,0
Uganda,0.0,0,0.0,17
Ukraine,0.0,0,0.0,37
United Arab Emirates,0.0,0,1.981659112,0
United Kingdom,0.0,0,0.104905061,0
United States,0.224261884,190510000,232.9141666,336
United States Virgin Islands,0.0,0,0.0,7
Uruguay,0.0,0,193.1626418,0
Vanuatu,0.0,0,899.6491228,0
Vietnam,0.353321901,3162655,5424.784093,284
Yemen,0.0,0,0.0,50
Zimbabwe,0.248483751,189000,49167.66173,251
