country_name,country_code,avg_deaths,country_latitude,country_longitude
Afghanistan,AFG,185.9756097560975610,33,65
Albania,ALB,5.3809523809523810,41,20
Algeria,DZA,51.6857142857142857,28,3
American Samoa,ASM,1.2000000000000000,-14.3333,-170
Angola,AGO,35.8750000000000000,-12.5,18.5
Anguilla,AIA,0.80000000000000000000,18.25,-63.1667
Antigua and Barbuda,ATG,1.00000000000000000000,17.05,-61.8
Argentina,ARG,19.6739130434782609,-34,-64
Armenia,ARM,0.55555555555555555556,40,45
Australia,AUS,27.5306122448979592,-27,133
Austria,AUT,14.6333333333333333,47.3333,13.3333
Azerbaijan,AZE,2.6666666666666667,40.5,47.5
Bahamas,BHS,24.0588235294117647,24.25,-76
Bangladesh,BGD,10403.200000000000,24,90
Barbados,BRB,0.50000000000000000000,13.1667,-59.5333
Belarus,BLR,5.0833333333333333,53,28
Belgium,BEL,153.3225806451612903,50.8333,4
Belize,BLZ,4.6000000000000000,17.25,-88.75
Benin,BEN,8.7272727272727273,9.5,2.25
Bermuda,BMU,0.80000000000000000000,32.3333,-64.75
Bhutan,BTN,41.8333333333333333,27.5,90.5
Bolivia,BOL,31.9473684210526316,-17,-65
Bolivia,BOL,31.9473684210526316,-17,-65
Bosnia and Herzegovina,BIH,2.9285714285714286,44,18
Botswana,BWA,2.8666666666666667,-22,24
Brazil,BRA,129.0208333333333333,-10,-55
Brunei,BRN,0.00000000000000000000,4.5,114.6667
Brunei,BRN,0.00000000000000000000,4.5,114.6667
Bulgaria,BGR,8.1428571428571429,43,25
Burkina Faso,BFA,7.1153846153846154,13,-2
Burundi,BDI,19.5789473684210526,-3.5,30
Cambodia,KHM,72.2916666666666667,13,105
Cameroon,CMR,5.9545454545454545,6,12
Canada,CAN,5.5833333333333333,60,-95
Cape Verde,CPV,4.0000000000000000,16,-24
Cayman Islands,CYM,0.50000000000000000000,19.5,-80.5
Central African Republic,CAF,1.1363636363636364,7,21
Chad,TCD,167.1000000000000000,15,19
Chile,CHL,23.9473684210526316,-30,-71
China,CHN,1719.4791666666666667,35,105
Colombia,COL,69.4897959183673469,4,-72
Comoros,COM,5.2142857142857143,-12.1667,44.25
Congo,COG,4.3636363636363636,-1,15
Costa Rica,CRI,7.5882352941176471,10,-84
Croatia,HRV,53.6875000000000000,45.1667,15.5
Cuba,CUB,7.2105263157894737,21.5,-80
Cyprus,CYP,7.6250000000000000,35,33
Denmark,DNK,2.0000000000000000,56,10
Djibouti,DJI,12.6000000000000000,11.5,43
Dominica,DMA,11.6666666666666667,15.4167,-61.3333
Dominican Republic,DOM,90.8125000000000000,19,-70.6667
Ecuador,ECU,24.8611111111111111,-2,-77.5
Egypt,EGY,60.7222222222222222,27,30
El Salvador,SLV,54.8965517241379310,13.8333,-88.9167
Eritrea,ERI,0.60000000000000000000,15,39
Estonia,EST,3.6666666666666667,59,26
Ethiopia,ETH,11180.055555555556,8,38
Fiji,FJI,12.2352941176470588,-18,175
Finland,FIN,0.00000000000000000000,64,26
France,FRA,615.9565217391304348,46,2
French Guiana,GUF,0.00000000000000000000,4,-53
French Polynesia,PYF,1.6000000000000000,-15,-140
Gabon,GAB,0.25000000000000000000,-1,11.75
Gambia,GMB,4.7222222222222222,13.4667,-16.5667
Georgia,GEO,3.2105263157894737,42,43.5
Germany,DEU,334.7241379310344828,51,9
Ghana,GHA,24.5909090909090909,8,-2
Greece,GRC,40.0263157894736842,39,22
Grenada,GRD,6.5000000000000000,12.1167,-61.6667
Guadeloupe,GLP,1.0833333333333333,16.25,-61.5833
Guam,GUM,1.7142857142857143,13.4667,144.7833
Guatemala,GTM,85.6052631578947368,15.5,-90.25
Guinea,GIN,2.4444444444444444,11,-10
Guinea-Bissau,GNB,1.0909090909090909,12,-15
Guyana,GUY,3.0909090909090909,5,-59
Haiti,HTI,257.2702702702702703,19,-72.4167
Honduras,HND,613.8717948717948718,15,-86.5
Hong Kong,HKG,15.8750000000000000,22.25,114.1667
Hungary,HUN,50.4583333333333333,47,20
Iceland,ISL,0.00000000000000000000,65,-18
India,IND,2601.1568627450980392,20,77
