country_name,country_code,country_latitude,country_longitude,avg
Afghanistan,AFG,33,65,0.61388235294117647059
Albania,ALB,41,20,0.54645098039215686275
Algeria,DZA,28,3,0.77000000000000000000
American Samoa,ASM,-14.3333,-170,0.44822916666666666667
Andorra,AND,42.5,1.6,0.81086274509803921569
Angola,AGO,-12.5,18.5,0.64068627450980392157
Anguilla,AIA,18.25,-63.1667,0.46335294117647058824
Antarctica,ATA,-90,0,0.22576470588235294118
Antigua and Barbuda,ATG,17.05,-61.8,0.44864000000000000000
Argentina,ARG,-34,-64,0.34192156862745098039
Armenia,ARM,40,45,1.0462413793103448
Aruba,ABW,12.5,-69.9667,0.47612244897959183673
Australia,AUS,-27,133,0.54574509803921568627
Austria,AUT,47.3333,13.3333,0.91750980392156862745
Azerbaijan,AZE,40.5,47.5,1.0698275862068966
Bahamas,BHS,24.25,-76,0.54692156862745098039
Bahrain,BHR,26,50.55,0.66535294117647058824
Bangladesh,BGD,24,90,0.24815686274509803922
Barbados,BRB,13.1667,-59.5333,0.33404081632653061224
Belarus,BLR,53,28,1.4750689655172414
Belgium,BEL,50.8333,4,1.4574285714285714
Belize,BLZ,17.25,-88.75,0.50564705882352941176
Benin,BEN,9.5,2.25,0.66347058823529411765
Bhutan,BTN,27.5,90.5,0.35337254901960784314
"Bolivia, Plurinational State of",BOL,-17,-65,0.42031372549019607843
Bolivia,BOL,-17,-65,0.42031372549019607843
"Bolivia, Plurinational State of",BOL,-17,-65,0.42031372549019607843
Bolivia,BOL,-17,-65,0.42031372549019607843
Bosnia and Herzegovina,BIH,44,18,1.2152758620689655
Botswana,BWA,-22,24,0.51815686274509803922
Brazil,BRA,-10,-55,0.63219607843137254902
Brunei Darussalam,BRN,4.5,114.6667,0.45594117647058823529
Brunei,BRN,4.5,114.6667,0.45594117647058823529
Brunei Darussalam,BRN,4.5,114.6667,0.45594117647058823529
Brunei,BRN,4.5,114.6667,0.45594117647058823529
Bulgaria,BGR,43,25,0.54674509803921568627
Burkina Faso,BFA,13,-2,0.68280392156862745098
Burundi,BDI,-3.5,30,0.60150000000000000000
Cambodia,KHM,13,105,0.49696078431372549020
Cameroon,CMR,6,12,0.56898039215686274510
Canada,CAN,60,-95,0.74786274509803921569
Cape Verde,CPV,16,-24,1.2098958333333333
Cayman Islands,CYM,19.5,-80.5,0.62671111111111111111
Central African Republic,CAF,7,21,0.55245098039215686275
Chad,TCD,15,19,0.56437254901960784314
Chile,CHL,-30,-71,0.25088235294117647059
China,CHN,35,105,0.63597058823529411765
Christmas Island,CXR,-10.5,105.6667,0.24451282051282051282
Cocos (Keeling) Islands,CCK,-12.5,96.8333,0.35315686274509803922
Colombia,COL,4,-72,0.39609803921568627451
Comoros,COM,-12.1667,44.25,0.27640816326530612245
Congo,COG,-1,15,0.51960000000000000000
"Congo, the Democratic Republic of the",COD,0,25,0.60325490196078431373
Cook Islands,COK,-21.2333,-159.7667,0.54960784313725490196
Costa Rica,CRI,10,-84,0.23710526315789473684
Ivory Coast,CIV,8,-5,0.70501960784313725490
Côte d'Ivoire,CIV,8,-5,0.70501960784313725490
Ivory Coast,CIV,8,-5,0.70501960784313725490
Côte d'Ivoire,CIV,8,-5,0.70501960784313725490
Croatia,HRV,45.1667,15.5,1.2800344827586207
Cuba,CUB,21.5,-80,0.60607843137254901961
Cyprus,CYP,35,33,0.43735294117647058824
Czech Republic,CZE,49.75,15.5,1.3542857142857143
Denmark,DNK,56,10,0.82566666666666666667
Djibouti,DJI,11.5,43,0.64220408163265306122
Dominica,DMA,15.4167,-61.3333,0.45062745098039215686
Dominican Republic,DOM,19,-70.6667,0.67703921568627450980
Ecuador,ECU,-2,-77.5,0.47137254901960784314
Egypt,EGY,27,30,0.33613725490196078431
El Salvador,SLV,13.8333,-88.9167,0.55449019607843137255
Equatorial Guinea,GNQ,2,10,0.48718367346938775510
Eritrea,ERI,15,39,0.62936170212765957447
Estonia,EST,59,26,1.4956551724137931
Ethiopia,ETH,8,38,0.99914285714285714286
Falkland Islands (Malvinas),FLK,-51.75,-59,0.08041666666666666667
Faroe Islands,FRO,62,-7,0.46566666666666666667
Fiji,FJI,-18,175,0.44552941176470588235
Finland,FIN,64,26,0.91458823529411764706
France,FRA,46,2,0.78549019607843137255
French Guiana,GUF,4,-53,0.54452941176470588235
French Polynesia,PYF,-15,-140,0.40843137254901960784
French Southern Territories,ATF,-43,67,0.25397959183673469388
Gabon,GAB,-1,11.75,0.43519607843137254902
Gambia,GMB,13.4667,-16.5667,0.96817647058823529412
Georgia,GEO,42,43.5,0.92748275862068965517
Germany,DEU,51,9,0.86072549019607843137
Ghana,GHA,8,-2,0.69047058823529411765
Gibraltar,GIB,36.1833,-5.3667,0.68821568627450980392
Greece,GRC,39,22,0.33311764705882352941
Greenland,GRL,72,-40,0.44009803921568627451
Grenada,GRD,12.1167,-61.6667,0.42052941176470588235
Guadeloupe,GLP,16.25,-61.5833,0.45678431372549019608
Guatemala,GTM,15.5,-90.25,0.53966666666666666667
Guinea,GIN,11,-10,0.70129411764705882353
Guinea-Bissau,GNB,12,-15,0.89196078431372549020
Guyana,GUY,5,-59,0.52776470588235294118
