country_name,country_code,avg_emissions,country_latitude,country_longitude
Afghanistan,AFG,3575028.235294117647,33,65
Albania,ALB,4825846.490196078431,41,20
Algeria,DZA,87474226.745098039216,28,3
Andorra,AND,486157.354838709677,42.5,1.6
Angola,AGO,13047201.784313725490,-12.5,18.5
Anguilla,AIA,110363.516129032258,18.25,-63.1667
Antarctica,ATA,7328.0000000000000000,-90,0
Antigua and Barbuda,ATG,348526.411764705882,17.05,-61.8
Argentina,ARG,135585047.50980392,-34,-64
Armenia,ARM,5792959.980392156863,40,45
Aruba,ABW,1162161.882352941176,12.5,-69.9667
Australia,AUS,304697435.64705882,-27,133
Austria,AUT,63075835.568627450980,47.3333,13.3333
Azerbaijan,AZE,39097252.960784313725,40.5,47.5
Bahamas,BHS,3084765.509803921569,24.25,-76
Bahrain,BHR,16794627.156862745098,26,50.55
Bangladesh,BGD,29744362.549019607843,24,90
Barbados,BRB,998388.568627450980,13.1667,-59.5333
Belarus,BLR,75234628.431372549020,53,28
Belgium,BEL,117413796.88235294,50.8333,4
Belize,BLZ,351869.647058823529,17.25,-88.75
Benin,BEN,2156607.941176470588,9.5,2.25
Bermuda,BMU,515613.019607843137,32.3333,-64.75
Bhutan,BTN,376335.156862745098,27.5,90.5
Bolivia,BOL,9895628.352941176471,-17,-65
Bolivia,BOL,9895628.352941176471,-17,-65
Bosnia and Herzegovina,BIH,15972220.764705882353,44,18
Botswana,BWA,3069421.632653061224,-22,24
Brazil,BRA,295826879.41176471,-10,-55
Brunei,BRN,6288406.431372549020,4.5,114.6667
Brunei,BRN,6288406.431372549020,4.5,114.6667
Bulgaria,BGR,62070910.000000000000,43,25
Burkina Faso,BFA,1242376.549019607843,13,-2
Burundi,BDI,243979.333333333333,-3.5,30
Cambodia,KHM,2998072.196078431373,13,105
Cameroon,CMR,4099952.411764705882,6,12
Canada,CAN,491586943.49019608,60,-95
Cape Verde,CPV,248816.294117647059,16,-24
Central African Republic,CAF,184616.627450980392,7,21
Chad,TCD,490604.117647058824,15,19
Chile,CHL,47420816.784313725490,-30,-71
China,CHN,4429449683.74509804,35,105
Christmas Island,CXR,95002.285714285714,-10.5,105.6667
Colombia,COL,58739680.470588235294,4,-72
Comoros,COM,100940.352941176471,-12.1667,44.25
Congo,COG,1475184.901960784314,-1,15
Democratic Republic of Congo,COD,2682437.686274509804,0,25
Cook Islands,COK,42841.705882352941,-21.2333,-159.7667
Costa Rica,CRI,4772737.215686274510,10,-84
Cote d'Ivoire,CIV,6326344.529411764706,8,-5
Cote d'Ivoire,CIV,6326344.529411764706,8,-5
Croatia,HRV,18180009.980392156863,45.1667,15.5
Cuba,CUB,26987690.294117647059,21.5,-80
Cyprus,CYP,5414247.745098039216,35,33
Czechia,CZE,142709109.64705882,49.75,15.5
Denmark,DNK,53415875.392156862745,56,10
Djibouti,DJI,348146.313725490196,11.5,43
Dominica,DMA,90303.333333333333,15.4167,-61.3333
Dominican Republic,DOM,14194575.137254901961,19,-70.6667
Ecuador,ECU,22413471.705882352941,-2,-77.5
Egypt,EGY,116117736.60784314,27,30
El Salvador,SLV,4256122.490196078431,13.8333,-88.9167
Equatorial Guinea,GNQ,3508426.803921568627,2,10
Eritrea,ERI,660367.000000000000,15,39
Estonia,EST,24324964.803921568627,59,26
Ethiopia,ETH,4873196.568627450980,8,38
Faeroe Islands,FRO,557685.137254901961,62,-7
Fiji,FJI,876031.000000000000,-18,175
Finland,FIN,53550425.058823529412,64,26
France,FRA,411373113.07843137,46,2
French Guiana,GUF,527669.509803921569,4,-53
French Polynesia,PYF,541754.333333333333,-15,-140
Gabon,GAB,4955593.921568627451,-1,11.75
Gambia,GMB,264649.882352941176,13.4667,-16.5667
Georgia,GEO,9841552.980392156863,42,43.5
Germany,DEU,938493318.60784314,51,9
Ghana,GHA,6764183.274509803922,8,-2
Greece,GRC,74506527.058823529412,39,22
Greenland,GRL,549480.058823529412,72,-40
Grenada,GRD,154330.058823529412,12.1167,-61.6667
Guadeloupe,GLP,1581784.039215686275,16.25,-61.5833
Guatemala,GTM,8209961.490196078431,15.5,-90.25
Guinea,GIN,1552873.235294117647,11,-10
Guinea-Bissau,GNB,186359.803921568627,12,-15
Guyana,GUY,1697203.254901960784,5,-59
Haiti,HTI,1397195.450980392157,19,-72.4167
Honduras,HND,4777470.333333333333,15,-86.5
Hong Kong,HKG,30436031.274509803922,22.25,114.1667
Hungary,HUN,65985076.843137254902,47,20
Iceland,ISL,2535978.725490196078,65,-18
India,IND,984714193.66666667,20,77
Indonesia,IDN,262883446.29411765,-5,120
Iran,IRN,338730850.27450980,32,53
Iraq,IRQ,84964978.137254901961,33,44
Ireland,IRL,34341376.254901960784,53,-8
Israel,ISR,43689160.196078431373,31.5,34.75
Italy,ITA,402452979.05882353,42.8333,12.8333
Jamaica,JAM,8085610.647058823529,18.25,-77.5
Japan,JPN,1099992624.37254902,36,138
Jordan,JOR,13429464.352941176471,31,36
Kazakhstan,KAZ,222343298.96078431,48,68
Kenya,KEN,8279133.960784313725,1,38
Kiribati,KIR,38086.470588235294,1.4167,173
North Korea,PRK,86340799.549019607843,40,127
South Korea,KOR,353015871.64705882,37,127.5
South Korea,KOR,353015871.64705882,37,127.5
Kuwait,KWT,51611042.117647058824,29.3375,47.6581
Kyrgyzstan,KGZ,12440315.058823529412,41,75
Laos,LAO,3448182.901960784314,18,105
Latvia,LVA,13596545.509803921569,57,25
Lebanon,LBN,13383316.058823529412,33.8333,35.8333
Lesotho,LSO,2063943.612903225806,-29.5,28.5
Liberia,LBR,909059.784313725490,6.5,-9.5
Libya,LBY,40011365.882352941176,25,17
Libya,LBY,40011365.882352941176,25,17
Liechtenstein,LIE,197132.838709677419,47.1667,9.5333
Lithuania,LTU,22744465.000000000000,56,24
Luxembourg,LUX,10581405.196078431373,49.75,6.1667
Macao,MAC,1081587.980392156863,22.1667,113.55
North Macedonia,MKD,10463504.000000000000,41.8333,22
Madagascar,MDG,1721903.294117647059,-20,47
Malawi,MWI,848995.450980392157,-13.5,34
Malaysia,MYS,115242521.11764706,2.5,112.5
Maldives,MDV,498224.820000000000,3.25,73
Mali,MLI,1207279.333333333333,17,-4
Malta,MLT,1903389.607843137255,35.8333,14.5833
Marshall Islands,MHL,117819.034482758621,9,168
Martinique,MTQ,1661890.607843137255,14.6667,-61
Mauritania,MRT,1454901.431372549020,20,-12
Mauritius,MUS,2165562.882352941176,-20.2833,57.55
Mayotte,MYT,210240.645161290323,-12.8333,45.1667
Mexico,MEX,346397753.23529412,23,-102
Micronesia (country),FSM,128045.000000000000,6.9167,158.25
Moldova,MDA,18872257.549019607843,47,29
Mongolia,MNG,14935681.352941176471,46,105
Montenegro,MNE,1760512.235294117647,42,19
Montserrat,MSR,30800.470588235294,16.75,-62.2
Morocco,MAR,32359908.254901960784,32,-5
Mozambique,MOZ,2750694.627450980392,-18.25,35
Myanmar,MMR,10214103.098039215686,22,98
Myanmar,MMR,10214103.098039215686,22,98
Namibia,NAM,2534642.866666666667,-22,17
Nauru,NRU,90231.019607843137,-0.5333,166.9167
Nepal,NPL,3210170.803921568627,28,84
Netherlands,NLD,163857845.01960784,52.5,5.75
New Caledonia,NCL,2729630.372549019608,-21.5,165.5
New Zealand,NZL,27809786.529411764706,-41,174
Nicaragua,NIC,3234112.705882352941,13,-85
Niger,NER,890819.431372549020,16,8
Nigeria,NGA,74068034.549019607843,10,8
Niue,NIU,5689.1764705882352941,-19.0333,-169.8667
Norway,NOR,38186086.411764705882,62,10
Oman,OMN,24519878.215686274510,21,57
Pakistan,PAK,96427594.509803921569,30,70
Palau,PLW,193161.274509803922,7.5,134.5
Palestine,PSE,1917344.193548387097,32,35.25
Panama,PAN,5633948.784313725490,9,-80
Papua New Guinea,PNG,3238306.960784313725,-6,147
Paraguay,PRY,3366480.254901960784,-23,-58
Peru,PER,30875044.960784313725,-10,-76
Philippines,PHL,62492547.019607843137,13,122
Poland,POL,362155973.01960784,52,20
Portugal,PRT,43800120.647058823529,39.5,-8
Qatar,QAT,40086299.666666666667,25.5,51.25
Reunion,REU,2391633.705882352941,-21.1,55.6
Romania,ROU,130546290.23529412,46,25
Russia,RUS,1799156787.70588235,60,100
Russia,RUS,1799156787.70588235,60,100
Rwanda,RWA,545530.196078431373,-2,30
Saint Helena,SHN,9390.7750000000000000,-15.9333,-5.7
Saint Kitts and Nevis,KNA,158492.450000000000,17.3333,-62.75
Saint Lucia,LCA,274277.941176470588,13.8833,-61.1333
Saint Pierre and Miquelon,SPM,57865.098039215686,46.8333,-56.3333
Saint Vincent and the Grenadines,VCT,131791.019607843137,13.25,-61.2
Saint Vincent and the Grenadines,VCT,131791.019607843137,13.25,-61.2
Saint Vincent and the Grenadines,VCT,131791.019607843137,13.25,-61.2
Samoa,WSM,126450.705882352941,-13.5833,-172.3333
Sao Tome and Principe,STP,62663.823529411765,1,7
Saudi Arabia,SAU,307291488.82352941,25,45
Senegal,SEN,4580855.235294117647,14,-14
Serbia,SRB,45623017.098039215686,44,21
Seychelles,SYC,261338.039215686275,-4.5833,55.6667
Sierra Leone,SLE,586067.000000000000,8.5,-11.5
Singapore,SGP,41117073.549019607843,1.3667,103.8
Slovakia,SVK,46714282.803921568627,48.6667,19.5
Slovenia,SVN,14419992.176470588235,46,15
Solomon Islands,SLB,198788.235294117647,-8,159
Somalia,SOM,606678.431372549020,10,49
South Africa,ZAF,347720117.62745098,-29,24
South Sudan,SSD,698750.254901960784,8,30
Spain,ESP,246714337.13725490,40,-4
Sri Lanka,LKA,8904857.372549019608,7,81
Sudan,SDN,8161992.470588235294,15,30
Suriname,SUR,2028266.490196078431,4,-56
