country_name,country_code, avg_emissions , avg_deaths , avg_temp_increase 
Afghanistan,AFG," 3,575,028.2353 ", 185.976 , 0.614 
Albania,ALB," 4,825,846.4902 ", 5.381 , 0.546 
Algeria,DZA," 87,474,226.7451 ", 51.686 , 0.770 
Angola,AGO," 13,047,201.7843 ", 35.875 , 0.641 
Anguilla,AIA," 110,363.5161 ", 0.800 , 0.463 
Antigua and Barbuda,ATG," 348,526.4118 ", 1.000 , 0.449 
Argentina,ARG," 135,585,047.5098 ", 19.674 , 0.342 
Armenia,ARM," 5,792,959.9804 ", 0.556 , 1.046 
Australia,AUS," 304,697,435.6471 ", 27.531 , 0.546 
Austria,AUT," 63,075,835.5686 ", 14.633 , 0.918 
Azerbaijan,AZE," 39,097,252.9608 ", 2.667 , 1.070 
Bahamas,BHS," 3,084,765.5098 ", 24.059 , 0.547 
Bangladesh,BGD," 29,744,362.5490 "," 10,403.200 ", 0.248 
Barbados,BRB," 998,388.5686 ", 0.500 , 0.334 
Belarus,BLR," 75,234,628.4314 ", 5.083 , 1.475 
Belgium,BEL," 117,413,796.8824 ", 153.323 , 1.457 
Belize,BLZ," 351,869.6471 ", 4.600 , 0.506 
Benin,BEN," 2,156,607.9412 ", 8.727 , 0.663 
Bhutan,BTN," 376,335.1569 ", 41.833 , 0.353 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bolivia,BOL," 9,895,628.3529 ", 31.947 , 0.420 
Bosnia and Herzegovina,BIH," 15,972,220.7647 ", 2.929 , 1.215 
Botswana,BWA," 3,069,421.6327 ", 2.867 , 0.518 
Brazil,BRA," 295,826,879.4118 ", 129.021 , 0.632 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Brunei,BRN," 6,288,406.4314 ", -   , 0.456 
Bulgaria,BGR," 62,070,910.0000 ", 8.143 , 0.547 
Burkina Faso,BFA," 1,242,376.5490 ", 7.115 , 0.683 
Burundi,BDI," 243,979.3333 ", 19.579 , 0.602 
Cambodia,KHM," 2,998,072.1961 ", 72.292 , 0.497 
Cameroon,CMR," 4,099,952.4118 ", 5.955 , 0.569 
