"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","50136647944.2604","52462779384.2906","51201144158.3674","49991345262.6958","48561416656.5995","52572238744.4442","56068699260.9553","55285365146.4182","61642310964.4774","58846516777.1502","59641604785.6628","59694529046.1481","63188180942.0129","62597951368.5654","65053855685.2148","72661363049.7475","76537413797.6832","77393160480.9016","80110338261.7488","79261465037.3104","83464818530.2411","84005572756.7717","86260391677.3003","86770998221.1855","91073669975.4152","96050451811.7946","97303181644.8262","100943770141.828","103462386251.17","107667537833.362","110702739258.518","110804250881.402","115061376152.18","121083956421.788","125331243129.337","128591356010.135","133511319124.74","136315071370.155","138229446687.953","142660780867.111","149074890428.016",
"Afganistán","AFG","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3251432580.68973","3342417754.23033","2599185841.0134","3059192433.73034","2902890608.40805","3329628483.05528","2832970118.75748","4095425315.60729","3834336443.59883","3543221215.84703","4188965821.41809","4189186472.7375","4184967746.89785","3948215004.64758","4183992607.54901","4452230843.08939","4255650988.02006","4998680195.0251","5295718787.62201","",
"","AFW","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","31283571825.973","31896546606.7138","31311579376.2422","30898121953.1129","35529365376.6375","38156051845.5624","37629440478.8609","40139286411.152","41918091607.2065","43176051506.6104","45032082177.1649","45090790823.0707","46756349857.1619","47897871930.0542","49744699116.4362","51686958748.8616","53220248432.7476","55935900337.0955","59009388186.55","59695175189.8996","61642439721.5615","82898688631.1822","88655083686.0742","92767782983.7717","99048804917.0965","104821182027.153","110624065545.367","117816463735.101","122812330770.228","129904017146.395","132255607494.144","140379537156.07","143999796139.828","150891187958.486","156635331919.557","162381327881.293","169052692847.994","174142261822.586","179627849691.943","184100670159.981","188659145761.066",
"Angola","AGO","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2782624181.21462","3005869734.26192","3278595186.04048","3427742879.4687","3986571487.52236","4208915447.32017","4408964011.17012","4661597644.11888","5059698082.40385","5523166433.95075","5915863564.70191","6153681276.6442","7219498875.3746","7956609712.0786","8266121829.8978","8304972603.43074","8176126166.01871","8071471753.91243","8265081139.41898","9602310110.33677",
"Albania","ALB","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380032392.5452","1143877419.66473","1215184377.15402","1280747578.49617","1366499094.69927","1403299849.72308","1432035953.29753","1474189114.5274","1567180157.52519","1577814505.67689","1627018721.95585","1671213851.06346","1789393431.39998","1823479176.47552","1962975803.26365","2056667112.95943","2167576632.16478","2192179231.95435","2235186246.95972","2252343371.04056","2298460563.6092","2317655882.8699","2344928801.39443","2359679637.38767","2391512550.93435","2398291167.4582",
"Andorra","AND","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","38239831124.3695","38781323613.4279","41601936696.2553","43300324866.8141","44241123016.8303","43073768272.6021","46349806360.5643","46093811954.7879","50932845989.032","54047870806.4748","52511421890.4572","50462974964.1786","51493465291.0133","53761710849.051","59163163028.8803","57940002268.164","59503539965.5588","61656043239.1567","67249118416.2372","69588445584.5883","71237758967.7335","79400765015.7691","77238857266.8704","78765734274.4938","83792304759.5802","84393439041.6712","87195066130.1496","87388104857.88","97878192534.9209","100538624790.079","106021138316.895","108465028604.029","106372398396.809","111385084312.049","115593942747.244","119431464965.299","120889536322.237","125781545847.44","133897174934.288","126856470224.1","128437998782.106","136009921370.87","139408956739.139","146628071360.032","142300250080.318","148809690199.435","147512016087.747","147516728552.04","147582375341.293","150474623202.444","154457592188.525","160558564606.915","163930751336.21","167396846091.706",
"Emiratos Árabes Unidos","ARE","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3628281245.91103","3744759208.88375","3628049848.65837","3556546606.43225","3413801551.07097","3118783414.66644","3061324694.33763","2727893987.70674","2716692708.47949","2423021350.30265","2552275393.49004","2610243343.08636","2623746699.30032","2619387827.35281","2653872836.95156","2744780294.36783","2835660236.41852","2988823675.21894","3102513630.40274","3315820033.77816","",
"Argentina","ARG","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","12080720588.7014","12191559154.1438","12501897648.7959","11969896100.2228","12501897648.7959","11340359480.806","11518813202.5822","11740460692.6889","12998419990.7268","13353068426.1714","12986231181.1836","13599135073.7277","13931621872.4239","14319534274.2073","14729623080.0066","13844883569.7739","14328638159.418","15400165409.057","15712405690.5718","15768704844.1668","15501406601.7872","15529112668.282","15105479664.4285","16293702874.3116","14954732770.0941","16222970486.2149","16887000661.6969","16918748006.0843","17329141370.9216","18590284978.6484","19622510242.351","19447851983.0942","19566272807.7905","21189505886.1225","21692618811.4535","21309553902.6016","21627306249.139","21054073055.8567","22479521815.6923","22565691391.0902","26805441680.7326","26664565464.8078","28941074853.8233","28308474664.4282","20919550469.5432","29187788956.6123","28478968407.4165","24812257625.5612","27659866051.802","28518498326.4708","30669352553.9863","29222696567.4324","30229437336.7126","25821525206.243","31312619574.3067","29078237781.7209","29164201434.1714",
"Armenia","ARM","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","718842889.84076","704466055.484051","643177499.584958","605873219.154013","624655262.879117","649641490.605187","662599812.940752","632785870.664632","714157299.721481","724155537.422989","716189826.570411","803114726.039878","834187373.356686","869334214.62864","995717546.279839","1108016066.08979","1113374406.93455","1228052060.11474","1264893622.05989","1339807627.55154","1126700819.05833","1284438933.76698","1406460632.58435","1513351640.66076","1605666090.83308","1817614014.78035","1726733314.05974","1638669914.99337","1525601690.77896","1437116792.72114","1378195004.17835","1358900274.20929",
"Samoa Americana","ASM","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","23633641.9047979","26966098.5867601","19580762.6145274","18534542.221802","15149829.5123919","12644169.7457748","12386559.8297322","11625551.0791754","11118347.5383439","11892483.5037693","13619917.4901882","14476792.1249864","15230184.6163931","16157775.9288674","16720168.2508467","17443942.7173941","18153046.0798897","17918308.4150636","16416965.4337796","16074639.6725748","16871769.6593803","17590653.7579104","18167717.1839414","18774122.8180756","18373112.6406643","20583558.9844439","21815931.7247813","21390469.7072839","23894338.1320962","25253860.4408811","25019122.7760549","23297713.2339964","20026057.0304818","20353711.687635","23126550.353394","23478656.8506333","25288093.0170016","21004130.6339241","21551851.8518519","22339201.1026229","25684212.8263957","25894498.6511358","26256385.8844095","26657396.0618208","27180665.4396625",
"Australia","AUS","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","12608515574.8426","13651571419.8604","14016384055.31","13557156882.1648","16500706720.6603","14471757573.8553","12687515494.1389","14762708496.1417","11535272768.7929","16529609130.1589","16562365194.2574","15405626538.5449","15570049134.8039","15234138908.853","15906601636.5214","17209779167.0271","18163558680.4824","17200145030.5275","18104469309.9518","18854005129.6167","16091577057.3128","19475728071.7209","21037100460.4144","21173905198.708","23285065643.6424","24892039611.7672","25876648362.021","26694265412.9494","20940116819.6523","26310184504.5007","27439305302.2478","28220954910.2445","23953032440.9445","25917111735.3191","30386708795.3431","30159985449.7204","31228732325.4036","31529317384.1895","31269195698.7017","31611528682.319","32090024128.4633","29812514259.97","32616690257.1053","31708512323.0811","28380239300.3704","25522754414.6043","31148447854.574",
"Austria","AUT","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","3358220360.725","3283796455.04766","3328150342.36328","3435043033.27187","3357623442.78984","3230002832.05859","3448285069.62148","3329156670.55508","3337488002.85078","3225711236.19766","3292081187.80195","3257812772.66211","3357227346.68789","3340388269.54688","3595023696.97109","3487704953.1125","3415336974.82148","3352824799.53789","3614398011.06719","3624234952.35547","3622171258.37891","3633588146.02344","3820629829.125","4006828282.42969","3862647082.29297","3836296151.14062","3774296570.8125","3681541293.15625","3997430708.24609","3905074855.23047","3846681191.79687","4209159053.16406","4511201747.3789","4213153299.57031","3999272499.64453","4569340222.84765","4238771952.21484","4112476099.875","4226789212.99609","4315472578.34375","4412321958.5664","4642357266.17969","4814731188.86719","4809505383.15234","4662306307.95312","4958546249.75",
"Azerbaiyán","AZE","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1894048526.52225","1585318659.26652","1382397829.35124","1285629898.23833","1324198861.63214","1232829098.65036","1309264559.66163","1402222190.155","1676880286.97704","1863013991.35624","1982236948.04398","2093415498.39374","2197993403.72476","2362801675.73733","2384066890.81897","2479472665.41612","2630771293.36285","2722953782.04626","2668499706.51645","2823629192.01795","3010233421.80336","3157765562.39653","3075640606.18223","3278645325.00488","3363890159.51938","3505173614.74231","3666411417.04627","3932864804.96476","4007589264.49892","4139777210.292",
"Burundi","BDI","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","529175696.711554","552764457.864226","530304741.258928","504613687.56346","503194207.274091","703144733.745296","838485828.019161","755023082.245712","845794804.938837","811942701.479011","849378127.053607","880322027.152001","916380287.535739","891850976.394108","905043679.621813","916611097.389875","1045920362.32357","966566031.011072","1009015799.23994","972538234.443657","1100218366.99018","1145639811.4156","1205188738.9129","1224311330.4944","1197708578.04667","1264376064.33299","1291303873.88448","1331850815.50548","1273515749.94486","1149602667.3933","1071774566.63224","1087958362.62093","1124187376.125","1145884192.57187","1133966996.90081","1075242813.97017","1038222868.52036","1082185257.10862","1044159148.62668","1041660075.70253","973322935.442374","1004363880.04492","910566586.068665","928451613.171618","917524175.176529","932348494.145864","919685603.085321","939313971.676753","1018365830.91392","981911456.010614","952454112.330295","931500094.249548","934294568.10608","962323318.376609","992155245.007523","1019939163.67311","1049517501.36625",
"Bélgica","BEL","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2270063374.21875","2270063374.21875","2335080829.60937","2410194852.30469","2426393740.50781","2587273109.64844","2403315872.38281","2652734370.19531","2565415705.70312","2749705796.83594","2674924628.00781","2912138484.02344","2904260942.5","2921902197.46094","2741606352.73437","3036736781.64062","3098647600.9375","3103973262.8125","2663829499.10156","2670264673.86719","3173539721.05469","2947753847.8125","3075902586.67969","2774226031.71875","2799522925.625","2608464805.85937","2644413023.51562",
